exp_name,sit_name,plt_name,plt_block,plt_rep,plt_notes,plt_lat,plt_long,plt_treat_heat,plt_heat_level,plt_treat_add_name,plt_treat_add_level,plt_treat_add_units
SMARTX,C3,C3_1_0,,1,plt_rep represents transects for non eCO2 plots,,,control,0,,,
SMARTX,C3,C3_1_1.7,,1,,,,treatment,1.7,,,
SMARTX,C3,C3_1_3.4,,1,,,,treatment,3.4,,,
SMARTX,C3,C3_1_5.1,,1,,,,treatment,5.1,,,
SMARTX,C3,C3_2_0,,2,,,,control,0,,,
SMARTX,C3,C3_2_1.7,,2,,,,treatment,1.7,,,
SMARTX,C3,C3_2_3.4,,2,,,,treatment,3.4,,,
SMARTX,C3,C3_2_5.1,,2,,,,treatment,5.1,,,
SMARTX,C3,C3_3_0,,3,,,,control,0,,,
SMARTX,C3,C3_3_1.7,,3,,,,treatment,1.7,,,
SMARTX,C3,C3_3_3.4,,3,,,,treatment,3.4,,,
SMARTX,C3,C3_3_5.1,,3,,,,treatment,5.1,,,
SMARTX,C3,C3_1_eCO2,,1,,,,control,0,eCO2,775,ppm CO2
SMARTX,C3,C3_1_eCO2_5.1,,1,,,,treatment,5.1,eCO2,775,ppm CO2
SMARTX,C3,C3_2_eCO2,,2,,,,control,0,eCO2,775,ppm CO2
SMARTX,C3,C3_2_eCO2_5.1,,2,,,,treatment,5.1,eCO2,775,ppm CO2
SMARTX,C3,C3_3_eCO2,,3,,,,control,0,eCO2,775,ppm CO2
SMARTX,C3,C3_3_eCO2_5.1,,3,,,,treatment,5.1,eCO2,775,ppm CO2
SMARTX,C4,C4_1_0,,1,,,,control,0,,,
SMARTX,C4,C4_1_1.7,,1,,,,treatment,1.7,,,
SMARTX,C4,C4_1_3.4,,1,,,,treatment,3.4,,,
SMARTX,C4,C4_1_5.1,,1,,,,treatment,5.1,,,
SMARTX,C4,C4_2_0,,2,,,,control,0,,,
SMARTX,C4,C4_2_1.7,,2,,,,treatment,1.7,,,
SMARTX,C4,C4_2_3.4,,2,,,,treatment,3.4,,,
SMARTX,C4,C4_2_5.1,,2,,,,treatment,5.1,,,
SMARTX,C4,C4_3_0,,3,,,,control,0,,,
SMARTX,C4,C4_3_1.7,,3,,,,treatment,1.7,,,
SMARTX,C4,C4_3_3.4,,3,,,,treatment,3.4,,,
SMARTX,C4,C4_3_5.1,,3,,,,treatment,5.1,,,












